resume_text,job_role,experience_level
"1 to 2 years of experience working with data science.
    Skilled in pandas, data analysis, python, statistics, scikit learn.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in scikit learn, pandas, data analysis, python, numpy.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in python, tensorflow, machine learning, pandas, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in data analysis, scikit learn, numpy, pandas, machine learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in deep learning, tensorflow, machine learning, statistics, python.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"hands on experience with data science.
    Skilled in numpy, statistics, python, pandas, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in scikit learn, pandas, statistics, machine learning, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"over 3 years of professional experience using data science.
    Skilled in deep learning, statistics, scikit learn, python, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in numpy, machine learning, deep learning, scikit learn, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in scikit learn, machine learning, statistics, numpy, python.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"expertise in designing scalable systems with data science.
    Skilled in pandas, numpy, deep learning, tensorflow, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"expertise in designing scalable systems with data science.
    Skilled in pandas, data analysis, scikit learn, tensorflow, python.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"led multiple projects involving data science.
    Skilled in data analysis, scikit learn, numpy, machine learning, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"expertise in designing scalable systems with data science.
    Skilled in machine learning, numpy, statistics, tensorflow, scikit learn.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in pandas, data analysis, scikit learn, statistics, machine learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"expertise in designing scalable systems with data science.
    Skilled in machine learning, python, scikit learn, numpy, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in numpy, machine learning, deep learning, tensorflow, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in data analysis, python, tensorflow, pandas, numpy.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in tensorflow, python, pandas, statistics, deep learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"led multiple projects involving data science.
    Skilled in numpy, tensorflow, statistics, deep learning, machine learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in deep learning, machine learning, statistics, scikit learn, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"expertise in designing scalable systems with data science.
    Skilled in python, statistics, deep learning, numpy, scikit learn.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"over 3 years of professional experience using data science.
    Skilled in scikit learn, python, data analysis, tensorflow, numpy.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"led multiple projects involving data science.
    Skilled in numpy, scikit learn, statistics, pandas, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Experienced
"completed academic projects using web development.
    Skilled in rest api, css, django, react, mysql.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in css, flask, react, javascript, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"seeking entry level position in web development.
    Skilled in rest api, javascript, flask, django, node js.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in html, django, react, mysql, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in css, django, react, html, node js.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in django, node js, react, flask, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in rest api, mysql, flask, node js, html.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in mysql, css, rest api, flask, react.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in css, node js, django, flask, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in react, css, flask, node js, django.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in rest api, javascript, node js, django, html.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in javascript, flask, node js, rest api, css.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed academic projects using web development.
    Skilled in html, css, flask, mysql, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in django, react, javascript, mysql, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in mysql, node js, javascript, django, html.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"seeking entry level position in web development.
    Skilled in html, django, react, css, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"recent graduate with strong foundation in web development.
    Skilled in javascript, css, flask, django, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Fresher
"completed internship and worked on projects using web development.
    Skilled in flask, rest api, node js, react, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"1 to 2 years of experience working with web development.
    Skilled in html, flask, rest api, react, css.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in flask, node js, mysql, django, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in css, flask, html, javascript, django.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"1 to 2 years of experience working with web development.
    Skilled in javascript, mysql, css, django, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"1 to 2 years of experience working with web development.
    Skilled in node js, django, css, rest api, mysql.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in flask, react, html, css, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in flask, mysql, html, javascript, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in javascript, flask, node js, react, mysql.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in rest api, mysql, html, node js, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in node js, django, rest api, mysql, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in node js, mysql, javascript, html, react.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in rest api, css, mysql, react, html.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in html, css, django, node js, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"hands on experience with web development.
    Skilled in node js, mysql, django, rest api, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in react, mysql, html, css, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"completed internship and worked on projects using web development.
    Skilled in css, mysql, javascript, html, django.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Intermediate
"expertise in designing scalable systems with web development.
    Skilled in react, mysql, rest api, html, css.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in html, mysql, react, django, node js.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"over 3 years of professional experience using web development.
    Skilled in node js, django, rest api, mysql, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"over 3 years of professional experience using web development.
    Skilled in mysql, node js, css, html, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in css, flask, javascript, node js, django.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"over 3 years of professional experience using web development.
    Skilled in django, css, rest api, node js, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in django, rest api, flask, css, react.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in html, mysql, node js, flask, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"over 3 years of professional experience using web development.
    Skilled in mysql, django, flask, react, javascript.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in javascript, django, css, mysql, html.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in django, rest api, html, flask, mysql.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in html, rest api, javascript, css, react.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in react, flask, javascript, mysql, rest api.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in css, mysql, html, rest api, flask.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"led multiple projects involving web development.
    Skilled in mysql, rest api, javascript, django, node js.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in react, django, rest api, html, mysql.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"expertise in designing scalable systems with web development.
    Skilled in django, flask, javascript, rest api, node js.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Web Development,Experienced
"recent graduate with strong foundation in android development.
    Skilled in gradle, android, android studio, kotlin, xml.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in xml, sqlite, android studio, kotlin, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in sqlite, kotlin, xml, java, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in firebase, android studio, sqlite, java, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in android, kotlin, sqlite, xml, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in kotlin, gradle, sqlite, firebase, android.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in xml, java, kotlin, gradle, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in kotlin, gradle, android studio, xml, android.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in kotlin, android, firebase, gradle, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in xml, java, firebase, android studio, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in android studio, kotlin, sqlite, android, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in kotlin, gradle, xml, java, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"completed academic projects using android development.
    Skilled in xml, firebase, android studio, sqlite, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in java, gradle, kotlin, sqlite, android.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in kotlin, android studio, gradle, firebase, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"seeking entry level position in android development.
    Skilled in sqlite, xml, android studio, java, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"recent graduate with strong foundation in android development.
    Skilled in firebase, android studio, android, xml, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Fresher
"hands on experience with android development.
    Skilled in firebase, android, android studio, xml, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in android studio, kotlin, firebase, android, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"1 to 2 years of experience working with android development.
    Skilled in kotlin, gradle, android, firebase, xml.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in android, gradle, kotlin, java, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in android, kotlin, android studio, sqlite, firebase.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in gradle, java, sqlite, android studio, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"completed internship and worked on projects using android development.
    Skilled in android studio, firebase, sqlite, java, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"completed internship and worked on projects using android development.
    Skilled in android, sqlite, xml, android studio, firebase.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"1 to 2 years of experience working with android development.
    Skilled in sqlite, android, kotlin, firebase, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in firebase, xml, kotlin, android, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"1 to 2 years of experience working with android development.
    Skilled in firebase, gradle, android studio, xml, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"completed internship and worked on projects using android development.
    Skilled in sqlite, android, gradle, kotlin, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in firebase, java, xml, android, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"completed internship and worked on projects using android development.
    Skilled in firebase, android studio, gradle, kotlin, android.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"1 to 2 years of experience working with android development.
    Skilled in xml, kotlin, firebase, android, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"1 to 2 years of experience working with android development.
    Skilled in android, gradle, xml, sqlite, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"hands on experience with android development.
    Skilled in android, xml, java, kotlin, gradle.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Intermediate
"expertise in designing scalable systems with android development.
    Skilled in kotlin, android studio, xml, sqlite, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in sqlite, firebase, gradle, kotlin, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in kotlin, java, firebase, android studio, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in kotlin, xml, firebase, java, android.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in gradle, xml, android, firebase, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in firebase, gradle, android studio, java, kotlin.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in android, kotlin, gradle, xml, firebase.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in android, android studio, firebase, gradle, xml.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"led multiple projects involving android development.
    Skilled in firebase, sqlite, android studio, gradle, xml.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"expertise in designing scalable systems with android development.
    Skilled in firebase, android, java, xml, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in kotlin, xml, gradle, firebase, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in kotlin, firebase, sqlite, android, android studio.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"led multiple projects involving android development.
    Skilled in sqlite, kotlin, gradle, firebase, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in gradle, firebase, android, android studio, java.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"over 3 years of professional experience using android development.
    Skilled in android, firebase, android studio, kotlin, sqlite.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"led multiple projects involving android development.
    Skilled in sqlite, android, kotlin, gradle, firebase.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"led multiple projects involving android development.
    Skilled in kotlin, firebase, android studio, gradle, xml.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Android Development,Experienced
"seeking entry level position in ios development.
    Skilled in swift, core data, xcode, ios development, cocoa touch.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"recent graduate with strong foundation in ios development.
    Skilled in swift, cocoa touch, xcode, ui kit, ios development.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in objective c, cocoa touch, swift, xcode, core data.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in ios development, objective c, core data, swift, ui kit.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in xcode, cocoa touch, ui kit, swift, objective c.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"recent graduate with strong foundation in ios development.
    Skilled in cocoa touch, objective c, xcode, ios development, core data.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"completed academic projects using ios development.
    Skilled in ios development, core data, xcode, cocoa touch, ui kit.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in cocoa touch, ios development, core data, xcode, swift.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in xcode, core data, swift, ui kit, objective c.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in swift, ui kit, objective c, ios development, core data.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
"seeking entry level position in ios development.
    Skilled in objective c, ui kit, core data, xcode, cocoa touch.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",IOS Development,Fresher
